Informazioni cronologiche	I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily. I grant permission for the data generated from this interview to be used in the researcher's publications on this topic. 	Age	Gender	Country where you work	Type of Mental Health Service	Type of Mental Health Professional	Is your area provided with an electronic health record?	Was your normal practice disrupted during the emergency?	If yes, which was the main reason for such disruption?	If yes, how much was your practice affected?	How have you provided mental health care DURING the emergency?	Which of the following tools have you used DURING the emergency to provide mental health care?	Which of the following services have you provided using telecommunications DURING the emergency ?	Were telecommunication tools available in your Mental Health Service?	What percentage of your mental health care have you provided using telecommunications DURING the emergency?	Have you found telepsychiatry useful to reach out and support patients DURING the emergency?	How did you use to provide mental health care BEFORE the emergency?	Which of the following tools were you using BEFORE the emergency to provide mental health care?	Which of the following services were you providing using telecommunications BEFORE the emergency ?	What percentage of your mental health care were you providing using telecommunications BEFORE the emergency?	Did you find telepsychiatry useful to reach out and support patients BEFORE the emergency?	Which age do you think telepsychiatry is mostly suited to?	Which of the following groups would benefit the most from telepsychiatry in your opinion?	Which of the following disorders would you treat using telepsychiatry?	Telepsychiatry is widely implemented in my Country	Telepsychiatry is expensive	Telepsychiatry is as valid, accurate and effective as face-to-face care	Telepsychiatry allows to establish a good doctor-patient relationship	Telepsychiatry allows to save time and fits well into my daily schedule	Telepsychiatry is advantageous on the patient side as it reduces the need for time off work, childcare services, etc. to access appointments	Telepsychiatry comes with confidentiality issues that limit its employ	Telepsychiatry improves access to mental health specialty care that might not otherwise be available	Telepsychiatry reduces the barrier of stigma	I am enough prepared to use telecommunications in my practice	I am satisfied with the care I am able to provide using telepsychiatry
01/06/2020 11.32.34	Yes	20-30	Male	Lithuania	Public mental health outpatient clinic, Public mental health inpatient clinic	Psychiatry Resident	Yes	Yes	Block of outpatient services	7	Exclusively remotely, using telecommunications	Phone (calls, texts)	Assessing/Monitoring patients already under my care, Drug therapy prescription	No, I have used personal tools on my own initiative	Less than 25%	3	Exclusively face-to-face	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Managing mental health emergency, Drug therapy prescription	Less than 25%	2	Child and adolescent, Adult	Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions	ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions	1	1	3	3	3	3	3	5	5	5	1
01/06/2020 12.14.46	Yes	31-40	Female	Uk	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	7	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	51-75%	3	Exclusively face-to-face	Phone (calls, texts)	Provide consultation to primary care/other specialist, Require consultation from other specialists	Less than 25%	5	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Social anxiety, Personality disorders	3	3	1	2	3	3	3	3	2	2	1
01/06/2020 12.19.57	Yes	20-30	Female	UK	Public mental health outpatient clinic	Vocational worker	Yes	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing, e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Psycho-social rehabilitation	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Psycho-social rehabilitation	Less than 25%	4	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Social anxiety, Substance use disorders, Personality disorders	4	3	1	2	3	4	3	4	3	4	2
01/06/2020 12.36.28	Yes	31-40	Male	UK	Public mental health outpatient clinic	Adult psychiatrist, Child & adolescent psychiatrist	Yes	Yes	Lockdown	7	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), e-mail, Electronic health record	Assessing/Monitoring patients already under my care, Managing mental health emergency	Less than 25%	3	Child and adolescent, Adult	Patients living in rural/remote settings, Patients belonging to minority groups, Patients in school settings, Patient that were not very engaged, (rarely coming to the practice in person) 	Autism spectrum disorders, Depressive disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Post-traumatic stress disorder, Substance use disorders, Personality disorders	4	3	2	3	4	4	3	4	3	5	4
01/06/2020 12.37.25	Yes	>60	Female	Canada	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	10	Exclusively remotely, using telecommunications	Phone (calls, texts)	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients	Yes, they were widely available BEFORE the emergency	More than 75%	5	Exclusively face-to-face	Phone (calls, texts)	Drug therapy prescription	Less than 25%	3	Any	Any	Any	3	2	3	2	5	5	3	5	4	3	2
01/06/2020 12.54.42	Yes	31-40	Female	Azerbaijan	Public mental health outpatient clinic	Adult psychiatrist	No	Yes	Block of outpatient services	6	Exclusively remotely, using telecommunications	Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Synchronous psychoterapy	No, I have used personal tools on my own initiative	More than 75%	3	Mixed, mostly remotely using telecommunications	Phone (calls, texts)	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Less than 25%	2	Any	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups	Depressive disorders	2	2	2	3	2	2	2	4	3	4	4
01/06/2020 13.12.55	Yes	20-30	Female	Nepal 	Private mental health clinic	Adult psychiatrist, Old age psychiatrist, Child & adolescent psychiatrist	No	Yes	Lockdown	8	Mixed, mostly remotely using telecommunications	Phone (calls, texts)	Assessing/Monitoring patients already under my care	No, I have used personal tools on my own initiative	More than 75%	4	Exclusively face-to-face					Adult	Any	Any	2	2	3	3	4	4	3	5	5	3	3
01/06/2020 14.31.05	Yes	41-50	Male	Japan	Public mental health outpatient clinic, Public mental health inpatient clinic, Private mental health clinic	Adult psychiatrist, Child & adolescent psychiatrist	Yes	Yes	We reduced the number of outpatients by utilizing assessments on phone or online video for part of patients. For inpatients, meeting with their families is prohibited.	2	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Yes, they have been introduced and enabled DURING the emergency	25-50%	4	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care, Drug therapy monitoring, Synchronous psychoterapy	Less than 25%	2	Adult	Patients living in rural/remote settings	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	2	2	3	2	5	5	3	4	3	4	3
01/06/2020 15.03.45	Yes	41-50	Male	Japan	Public mental health inpatient clinic	Adult psychiatrist	Yes	No			Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care, Drug therapy prescription, Synchronous psychoterapy	No, I have used personal tools on my own initiative	Less than 25%	5	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Less than 25%	1	Elderly	Patients living in rural/remote settings	Schizophrenia and other psychotic disorders, Neurocognitive disorders	1	1	3	4	2	5	3	4	1	1	3
01/06/2020 15.07.11	Yes	20-30	Male	Japan	Public mental health outpatient clinic, Public mental health inpatient clinic	Psychiatry Resident	I do not know	No			Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Assessing/Monitoring patients already under my care	Yes, they were widely available BEFORE the emergency	Less than 25%	4	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Less than 25%	3	Child and adolescent, Adult, Elderly	Patients living in rural/remote settings	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Panic disorder, Social anxiety, Post-traumatic stress disorder, Substance use disorders	2	2	3	2	2	4	4	4	4	2	2
01/06/2020 15.27.50	Yes	31-40	Male	Japan	Public mental health inpatient clinic	Child & adolescent psychiatrist	Yes	Yes	Block of outpatient services	3	Mixed, mostly remotely using telecommunications	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Yes, they have been introduced and enabled DURING the emergency	51-75%	4	Exclusively face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Less than 25%	2	Child and adolescent	Patients in assisted living facilities	Any	2	5	2	4	4	4	2	5	5	5	5
01/06/2020 16.10.55	Yes	41-50	Female	Japan	Public mental health inpatient clinic	Adult psychiatrist, Child & adolescent psychiatrist	Yes	Yes	Block of outpatient services	5	Mixed, mostly face-to-face	Phone (calls, texts)	Assessing/Monitoring patients already under my care	Yes, they were widely available BEFORE the emergency	25-50%	4	Exclusively face-to-face					Child and adolescent, Adult, Elderly	Patients belonging to minority groups	Neurocognitive disorders	1	1	4	3	5	5	4	5	5	5	3
01/06/2020 18.11.12	Yes	41-50	Male	Canada	Public mental health outpatient clinic	Adult psychiatrist	Yes	Yes	Block of outpatient services	3	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Electronic health record	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care	Less than 25%	5	Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings, Any	ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Personality disorders	3	1	5	4	5	5	3	5	5	5	5
01/06/2020 18.15.15	Yes	31-40	Female	Brazil	Private mental health clinic	Adult psychiatrist, Psychotherapist	Yes	Yes	Lockdown	9	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing, e-mail, Electronic health record, Supported telemedicine system	Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	No, I have used personal tools on my own initiative	More than 75%	5	Mixed, mostly face-to-face	Videoconferencing	I was doing research exclusevely, but came back to clinics to provide some help during the pandemic	Less than 25%	4	Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings	Autism spectrum disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Eating disorders, Neurocognitive disorders	3	3	3	4	5	5	5	5	5	5	5
01/06/2020 18.44.00	Yes	31-40	Male	Spain	Public mental health inpatient clinic	Adult psychiatrist	Yes	No		6	Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Drug therapy monitoring	Yes, they have been introduced and enabled DURING the emergency	Less than 25%	4	Exclusively face-to-face	Phone (calls, texts), Electronic health record	Drug therapy monitoring	Less than 25%	4	Child and adolescent, Adult, Elderly	Patients in prison, Patients belonging to minority groups, Caregivers of patients suffering with chronic conditions, Patients in school settings	Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Substance use disorders	4	3	3	3	3	3	3	3	3	3	3
01/06/2020 19.14.56	Yes	31-40	Female	Spain 	Public mental health inpatient clinic	Adult psychiatrist	I do not know	No			Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	25-50%	5	Exclusively face-to-face	Phone (calls, texts), e-mail	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Less than 25%	5	Any	Any	Autism spectrum disorders	4	1	5	5	4	5	4	4	4	5	5
01/06/2020 23.49.02	Yes	51-60	Male	Canada	Public mental health outpatient clinic	Adult psychiatrist, Child & adolescent psychiatrist	Yes	Yes	Lockdown	10	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Electronic health record, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Exclusively face-to-face	Phone (calls, texts), e-mail, Electronic health record, Supported telemedicine system	Managing mental health emergency, Drug therapy prescription	Less than 25%	3	Any	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Patients in school settings	Autism spectrum disorders, ADHD, Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Personality disorders, Eating disorders	5	2	4	4	5	5	2	5	4	5	5
02/06/2020 2.29.11	Yes	41-50	Male	japan	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist	I do not know	No			Exclusively face-to-face						Exclusively face-to-face					Adult	Patients in assisted living facilities, Patients in prison, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Autism spectrum disorders, ADHD, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders	2	1	2	2	3	5	3	5	1	4	1
02/06/2020 9.09.02	Yes	31-40	Male	Germany	Public mental health inpatient clinic	Adult psychiatrist	Yes	Yes	Lockdown	4	Exclusively face-to-face	e-mail, Electronic health record	Assessing/Monitoring patients already under my care	Yes, they were widely available BEFORE the emergency	Less than 25%	4	Exclusively face-to-face					Adult	Patients living in rural/remote settings	ADHD, Depressive disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Behavioral addictions, Personality disorders, Eating disorders	2	1	2	4	5	4	4	5	5	4	3
02/06/2020 9.17.17	Yes	31-40	Female	Spain 	Public mental health inpatient clinic	Adult psychiatrist	I do not know	No			Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Managing mental health emergency, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	25-50%	5	Exclusively face-to-face	Phone (calls, texts), e-mail	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Less than 25%	5	Any	Any	Autism spectrum disorders	4	1	5	5	4	5	4	4	4	5	5
02/06/2020 13.43.25	Yes	31-40	Male	Nigeria 	Public mental health outpatient clinic, Public mental health inpatient clinic, Private mental health clinic	Adult psychiatrist	No	Yes	Block of outpatient services	7	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Provide consultation to primary care/other specialist, Assessing/Monitoring recent onset-patients, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	25-50%	4	Mixed, mostly face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care	Less than 25%	3	Adult		Depressive disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Behavioral addictions, Eating disorders	2	4	2	3	4	3	3	4	4	3	3
02/06/2020 16.04.22	Yes	31-40	Female	Brasil	Public mental health outpatient clinic, Emergency department, Private mental health clinic	Adult psychiatrist, Psychotherapist	Yes	Yes	Lockdown	6	Mixed, mostly remotely using telecommunications	Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care	No, I have used personal tools on my own initiative	More than 75%	4	Exclusively face-to-face				1	Adult, Elderly	Patients in prison, Patients living in rural/remote settings	ADHD, Depressive disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder	2	1	2	3	2	2	4	4	2	3	3
02/06/2020 19.41.29	Yes	31-40	Female	India	Public mental health outpatient clinic, Public mental health inpatient clinic, Emergency department	Psychiatry Resident	No	Yes	Lockdown	7	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc), Videoconferencing	Require consultation from other specialists, Assessing/Monitoring patients already under my care, Drug therapy monitoring	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Require consultation from other specialists, Assessing/Monitoring patients already under my care	Less than 25%	3	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	ADHD, Depressive disorders, Schizophrenia and other psychotic disorders, Obsessive-compulsive disorder and related disorders, Substance use disorders	4	2	2	2	5	3	3	5	3	3	3
03/06/2020 2.23.24	Yes	31-40	Female	Botswana 	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist	No	Yes	Lockdown	8	Exclusively face-to-face						Exclusively face-to-face					Any	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Bipolar disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR), Panic disorder, Social anxiety	1	2	2	2	4	5	4	4	5	4	3
03/06/2020 12.58.18	Yes	51-60	Male	Korea, South	Private mental health clinic, university hospital (in korea, university hospital takes a role of public  hospital acitively) though they are public or private)	Adult psychiatrist	Yes	No			Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy monitoring, Drug therapy prescription	Yes, they have been introduced and enabled DURING the emergency	Less than 25%	3	Exclusively face-to-face	none	none	Less than 25%	1	Adult	Patients in assisted living facilities, Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Schizophrenia and other psychotic disorders, Clinical high risk for psychosis (UHR)	1	1	2	2	2	4	2	2	1	2	2
03/06/2020 13.25.54	Yes	41-50	Male	Australia	Public mental health outpatient clinic	Psychologist	Yes	Yes	Lockdown	7	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Synchronous psychoterapy	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Electronic health record		Less than 25%	3	Any	Patients in assisted living facilities, Patients living in rural/remote settings	Any	4	3	3	4	4	4	1	4	4	4	5
